Q1	4	2
Q1	11	2
Q1	2	2
Q1	12	1
Q1	5	2
Q1	9	1
Q1	10	2
Q1	8	1
Q1	14	2
Q1	3	1
Q1	13	1
Q1	6	1
Q2	10	2
Q2	9	2
Q2	12	2
Q2	4	2
Q2	11	2
Q2	1	2
Q2	8	2
Q2	5	2
Q2	14	2
Q2	13	2
Q2	3	1
Q2	6	1
Q2	7	1
Q3	7	2
Q3	6	2
Q3	10	2
Q3	13	2
Q3	5	2
Q3	11	2
Q3	2	1
Q3	12	1
Q3	4	1
Q3	1	1
Q3	14	1
Q3	8	1
Q3	9	1
Q4	1	2
Q4	2	2
Q4	11	2
Q4	5	2
Q4	12	2
Q4	9	2
Q4	10	2
Q4	8	2
Q4	6	1
Q4	7	1
Q4	14	2
Q4	3	1
Q4	13	2
Q5	13	2
Q5	11	2
Q5	4	2
Q5	14	2
Q5	1	2
Q5	12	2
Q5	2	2
Q5	3	2
Q5	9	2
Q5	10	2
Q5	8	2
Q5	7	2
Q5	6	1
Q6	7	2
Q6	3	2
Q6	4	1
Q6	14	1
Q6	2	1
Q6	5	1
Q6	9	1
Q6	10	1
Q6	13	2
Q6	11	1
Q6	8	1
Q6	12	1
Q6	1	1
Q7	6	2
Q7	3	2
Q7	14	2
Q7	4	1
Q7	13	2
Q7	5	2
Q7	10	1
Q7	2	1
Q7	12	1
Q7	9	1
Q7	11	1
Q7	8	1
Q8	9	2
Q8	2	2
Q8	11	2
Q8	12	2
Q8	10	2
Q8	1	1
Q8	4	2
Q8	13	2
Q8	14	2
Q8	5	2
Q8	3	1
Q8	6	1
Q8	7	1
Q9	2	2
Q9	8	2
Q9	12	2
Q9	10	2
Q9	11	2
Q9	14	2
Q9	13	2
Q9	1	1
Q9	4	2
Q9	5	2
Q9	6	1
Q9	7	1
Q9	3	1
Q10	2	2
Q10	12	2
Q10	9	2
Q10	11	2
Q10	1	2
Q10	8	2
Q10	4	2
Q10	13	2
Q10	3	2
Q10	14	2
Q10	5	2
Q10	7	1
Q10	6	1
Q11	12	2
Q11	1	2
Q11	13	2
Q11	2	2
Q11	8	2
Q11	4	2
Q11	5	2
Q11	9	2
Q11	10	2
Q11	14	2
Q11	3	2
Q11	6	1
Q11	7	1
Q12	2	2
Q12	11	2
Q12	10	2
Q12	9	2
Q12	8	2
Q12	1	1
Q12	13	2
Q12	4	2
Q12	5	2
Q12	14	2
Q12	3	1
Q12	7	1
Q12	6	1
Q13	5	2
Q13	14	2
Q13	11	2
Q13	9	2
Q13	12	2
Q13	10	2
Q13	3	2
Q13	8	2
Q13	2	2
Q13	7	2
Q13	4	2
Q13	1	1
Q13	6	2
Q14	13	2
Q14	5	2
Q14	9	2
Q14	11	2
Q14	2	2
Q14	7	2
Q14	12	2
Q14	10	2
Q14	1	2
Q14	4	2
Q14	8	2
Q14	6	1
Q14	3	1
